quantile,good_fraction,extra_delay,age_mode,policy,seed,wAoI,age_mae,age_bias,p95_slot_aoi,p99_slot_aoi,cvar95_slot_aoi,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
0.25,0.7497621313035204,4,expected,Expected-AoI Bayes-Safe,19,410.1291111111111,3.138939383440607,-0.32631934349100017,46.0,82.0,66.28925925925925,0.39458931054085766,23.997568428583758,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,0,376.46244444444443,0.0,0.0,44.0,78.0,62.72555555555556,0.3767224930184155,23.991304019980298,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,1,380.8251111111111,0.0,0.0,45.0,79.0,64.55259259259259,0.4004835477025812,23.998147941872944,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,2,393.76444444444445,0.0,0.0,45.0,79.0,64.58925925925926,0.39865166978235955,23.99414613042003,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,3,393.85066666666665,0.0,0.0,45.0,79.0,64.23037037037037,0.38666924283596305,23.995946088752092,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,4,383.5351111111111,0.0,0.0,42.0,78.0,62.92444444444445,0.3947530579106659,23.998995630603627,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,5,411.956,0.0,0.0,47.0,82.0,66.88037037037037,0.391757676601782,23.999584316425796,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,6,391.5111111111111,0.0,0.0,44.0,77.0,63.20407407407407,0.38874145212810707,23.997624126116442,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,7,383.84355555555555,0.0,0.0,43.0,78.0,63.358518518518515,0.3962890461957453,23.996007850010386,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,8,383.6351111111111,0.0,0.0,43.0,78.0,62.60629629629629,0.3982388393420191,23.999840338281334,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,9,385.2562222222222,0.0,0.0,45.0,79.0,64.47814814814815,0.3928951585690212,23.998588802741942,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,10,413.5877777777778,0.0,0.0,46.0,84.0,67.94,0.3930143654562723,23.99420401491189,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,11,380.14,0.0,0.0,44.0,78.0,63.505185185185184,0.3997701062477039,23.99046229219804,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,12,376.2402222222222,0.0,0.0,42.0,77.0,61.98074074074074,0.39928772407739227,23.994431673074757,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,13,405.0248888888889,0.0,0.0,45.0,82.0,66.33851851851851,0.3936795487594897,23.999451193966912,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,14,397.1122222222222,0.0,0.0,47.0,83.0,67.41666666666667,0.39427244405637285,23.99893209805353,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,15,393.9244444444444,0.0,0.0,46.0,83.0,67.30222222222223,0.4007638592450127,23.999322661307097,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,16,423.972,0.0,0.0,48.0,83.0,67.8474074074074,0.39273559133252556,23.99818892085964,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,17,396.08511111111113,0.0,0.0,43.0,78.0,62.90259259259259,0.3879437705704163,23.999372290735938,0.4053333333333334,True,True
0.25,0.7497621313035204,4,perfect,Perfect-AoI Bayes-Safe,18,400.1433333333333,0.0,0.0,46.0,79.0,65.1537037037037,0.3915694274772088,23.996845500138974,0.4053333333333334,True,True
