policy,age_mode,extra_delay,seed,wAoI,age_mae,age_bias,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,sweep,value
Expected-AoI Bayes-Safe,expected,4,1,494.7613513513514,3.617409545475593,-0.26612320309081455,0.2570952962963922,0.40250153803845606,23.992947122040906,0.4064864864864865,True,True,V,6.0
Expected-AoI Bayes-Safe,expected,4,2,394.5410810810811,3.2021178864759197,-0.3291353154073736,0.21456762183937994,0.39347990543967415,23.994534071506855,0.4064864864864865,True,True,V,6.0
Expected-AoI Bayes-Safe,expected,4,3,442.7591891891892,3.2887514104501836,-0.18752797883746203,0.22391230518430152,0.398638897608403,23.99077128899404,0.4064864864864865,True,True,V,6.0
Expected-AoI Bayes-Safe,expected,4,4,355.9581081081081,3.372910423016184,-0.37510739966994067,0.20530112493491948,0.3908425697648044,23.9963708700767,0.4064864864864865,True,True,V,6.0
Expected-AoI Bayes-Safe,expected,4,0,529.6737837837837,3.6729741884990372,-0.26984128051808276,0.26258235374545236,0.4023196938496881,23.997982840524287,0.4064864864864865,True,True,V,8.0
Expected-AoI Bayes-Safe,expected,4,1,504.8154054054054,3.718884943370653,-0.2937717485958887,0.25751617415385897,0.40088634507515186,23.999629921776656,0.4064864864864865,True,True,V,8.0
Expected-AoI Bayes-Safe,expected,4,2,374.8981081081081,3.1499414432202526,-0.28274530754222144,0.21516803772266654,0.39965698401800503,23.995900553630122,0.4064864864864865,True,True,V,8.0
Expected-AoI Bayes-Safe,expected,4,3,432.47837837837835,3.313515887237713,-0.20527548544902316,0.22439449008640713,0.4011382010416845,23.99793948535572,0.4064864864864865,True,True,V,8.0
Expected-AoI Bayes-Safe,expected,4,4,368.66594594594596,3.4451616978691306,-0.38449340454641473,0.20526783152801045,0.39720171044933794,23.996370870076756,0.4064864864864865,True,True,V,8.0
Expected-AoI Bayes-Safe,expected,4,0,525.3805405405406,3.6790948923852347,-0.27694007566688245,0.2637102100699283,0.40287924836130096,23.999481339770846,0.4064864864864865,True,True,V,12.0
Expected-AoI Bayes-Safe,expected,4,1,480.5778378378378,3.6190749911943114,-0.1988993538966211,0.2583383104048358,0.40193142254548375,23.998592687482432,0.4064864864864865,True,True,V,12.0
Expected-AoI Bayes-Safe,expected,4,2,377.9983783783784,3.174061149258997,-0.2933895171008395,0.21607233151722927,0.3978038604445058,23.99446861362226,0.4064864864864865,True,True,V,12.0
Expected-AoI Bayes-Safe,expected,4,3,439.76324324324327,3.3210334084005204,-0.21131489272236265,0.2251325322739249,0.4005133751833641,23.99916512949063,0.4064864864864865,True,True,V,12.0
Expected-AoI Bayes-Safe,expected,4,4,355.3437837837838,3.424549558930654,-0.40776081130476094,0.20594840150156704,0.39133173443284547,23.996370870076742,0.4064864864864865,True,True,V,12.0
Expected-AoI Bayes-Safe-f0,expected,4,0,489.5791891891892,3.629095901921792,-0.5118793696363281,0.2608407901633828,0.39860502189039787,23.999481339769755,0.4064864864864865,True,True,forget,0.0
Expected-AoI Bayes-Safe-f0,expected,4,1,477.1254054054054,3.740841770520027,-0.6264516551519616,0.2566456930319528,0.4002210760665668,23.999259843552768,0.4064864864864865,True,True,forget,0.0
