quantile,good_fraction,threshold_db,policy,seed,wAoI,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok,fitted_pLL,fitted_pNL
0.5,0.5004757373929591,-87.66462295051609,Wang'26 fitted-GE,2,841.7782222222222,0.21164762314546573,0.5180873146510228,589.0009578773362,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Wang'26 fitted-GE,3,814.44,0.29158800492473674,0.5378173394173538,692.0900769059053,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Wang'26 fitted-GE,4,800.4228888888889,0.22489929785072413,0.4596124099927085,315.521906815623,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Memoryless,0,941.1417777777777,0.20304756362603035,0.36555241282470374,171.07645497475582,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Memoryless,1,997.5893333333333,0.18777951108211624,0.38825257713503974,172.508932734394,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Memoryless,2,992.1673333333333,0.2073043192005292,0.42384901862398144,228.731272349081,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Memoryless,3,965.3633333333333,0.2746521856863605,0.4396183587730428,267.6573865735952,,,,0.9239543726235742,0.07633587786259542
0.5,0.5004757373929591,-87.66462295051609,Memoryless,4,953.4128888888889,0.21368674532315798,0.42915957010791894,246.96324478236122,,,,0.9239543726235742,0.07633587786259542
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky-Safe,0,2017.6024444444445,0.20413028158393542,0.37223120234038043,23.999665246758145,0.4053333333333334,True,True,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky-Safe,1,2200.0133333333333,0.18949971633020354,0.3845898169733885,23.99603731923106,0.4053333333333334,True,True,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky-Safe,2,2189.5826666666667,0.2026770239154793,0.3890121129836534,23.998220468455457,0.4053333333333334,True,True,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky-Safe,3,2101.658,0.2726839910905069,0.38329519339072315,23.993221233343018,0.4053333333333334,True,True,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky-Safe,4,2091.4673333333335,0.2067030786987316,0.3648266919962829,23.99607338322055,0.4053333333333334,True,True,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky,0,1986.9573333333333,0.20454921528341355,0.38291726556546324,38.65094297450622,,,,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky,1,2121.4315555555554,0.18981507641456516,0.3841319719531821,34.59906322851995,,,,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky,2,2163.728222222222,0.20120053951239594,0.3858857240159317,42.79285916998535,,,,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky,3,2071.0324444444445,0.2714161204474401,0.38680706034587364,47.17298292671858,,,,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-FreshSky,4,1995.8962222222221,0.21007511646036167,0.38205669046192936,44.92238983480665,,,,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-Aggregate-DPP,0,2042.1955555555555,0.21268477066848754,0.4790918345912081,421.1714993530226,,,,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-Aggregate-DPP,1,2108.1877777777777,0.20280566210767795,0.499966762065407,500.08371429654295,,,,0.8859315589353612,0.03811944091486658
0.75,0.25023786869647957,-85.99993525439743,Bayes-Aggregate-DPP,2,2132.1737777777776,0.21082712957461172,0.5234468385956885,629.6464948585708,,,,0.8859315589353612,0.03811944091486658
