scenario,forget,seed,wAoI,mean_power,max_avg_power,max_queue,max_prefix_violation,mean_model_entropy,feasible,certificate_ok,pre_wAoI,post_wAoI,post_mean_power,post_max_avg_power,final_model_entropy,post_feasible
shift-dwell2-to14,0.01,0,,,,23.998156868508968,,,,True,286.94235294117647,682.2245,0.26827923682828353,0.3966472702271598,0.8536059794025541,True
shift-dwell2-to14,0.01,1,,,,23.975598222533414,,,,True,281.86,548.2535,0.23716335721872242,0.4033195158200518,0.8238460848606192,True
shift-dwell2-to14,0.01,2,,,,23.984424049002378,,,,True,300.77588235294115,568.3815,0.26291040971587487,0.3963486599953074,0.8698670489555114,True
shift-dwell2-to14,0.01,3,,,,23.940431201728927,,,,True,246.6235294117647,473.7425,0.22125882607859645,0.40050235233110737,0.8105548821838231,True
shift-dwell2-to14,0.01,4,,,,23.921805573331447,,,,True,281.6070588235294,633.3855,0.27624286720314556,0.38866956543378445,0.8742602365996589,True
shift-dwell2-to14,0.02,0,,,,23.99815686850896,,,,True,314.4476470588235,623.5405,0.2693186711250239,0.3987403956637147,0.8913097037631226,True
shift-dwell2-to14,0.02,1,,,,23.98544230490142,,,,True,273.32941176470587,559.7975,0.23783197231911113,0.40302009442284387,0.8588338052101365,True
shift-dwell2-to14,0.02,2,,,,23.98866900092512,,,,True,311.7370588235294,568.4615,0.2642727314310081,0.3973571807586542,0.9103397543858351,True
shift-dwell2-to14,0.02,3,,,,23.9503593347741,,,,True,257.73176470588237,467.7485,0.2223379019891428,0.40050235233110737,0.868515433222433,True
shift-dwell2-to14,0.02,4,,,,23.9912380491931,,,,True,308.71235294117645,645.376,0.27761061592932507,0.39281997118503237,0.9258771745024776,True
