policy,extra_delay,wAoI,wAoI_std,worst_user_mean_aoi,worst_user_mean_aoi_std,p95_user_mean_aoi,p95_user_mean_aoi_std,p95_slot_aoi,p95_slot_aoi_std,p99_slot_aoi,p99_slot_aoi_std,cvar95_slot_aoi,cvar95_slot_aoi_std,slot_aoi_gt40,slot_aoi_gt40_std,slot_aoi_gt60,slot_aoi_gt60_std,mean_service_rate,mean_service_rate_std,worst_service_rate,worst_service_rate_std,jain_service_fairness,jain_service_fairness_std,starvation_p95,starvation_p95_std,starvation_max,starvation_max_std,rejection_rate,rejection_rate_std,mean_power,mean_power_std,max_avg_power,max_avg_power_std,max_queue,max_queue_std,bound_all_seeds,certificate_all_seeds,seeds
Static-Geometry Safe,8,452.2309864864865,73.25876863453452,26.04237837837838,4.01326296002752,23.55417094594594,3.3025952141460126,40.2,5.386142062347545,67.15,8.731521842394404,57.467409909909904,7.423904802674214,0.05070945945945946,0.01695217392787202,0.015346846846846845,0.006719823192134495,0.13012725225225225,0.018704221151225147,0.03925675675675676,0.008249070999219218,0.8206233687646659,0.05387127356560362,29.06500000000001,5.340044845070926,145.25,37.6058156196758,0.06412162162162162,0.03803563055097774,0.24798168800980291,0.04174512597597016,0.39731196116144263,0.005829668930636856,23.99517013935822,0.011399822038406653,True,True,20
Tripathi'24 Whittle-Safe,2,439.6568783783784,74.98528260388987,23.796216216216216,3.938723031398049,21.16454797297297,3.427384439583484,34.8,5.881281636192109,64.7,11.82370500308596,53.49563063063063,9.71129422795719,0.036120495495495494,0.014227954892976272,0.012743243243243243,0.006213886218862854,0.11177477477477478,0.018221038826046157,0.04009459459459459,0.008960107917291413,0.8749104297146042,0.052856914607089044,26.5,4.915068131454753,144.8,44.70676388246084,0.4144009009009009,0.1371684807024371,0.25743591068097105,0.04043236395247724,0.4009110055053299,0.0014230266673267626,23.99966949009743,0.00030253602592338166,True,True,20
Tripathi'24 Whittle-Safe,4,438.47356756756756,81.04838445442296,24.432783783783783,5.012034432778504,21.356373648648646,4.053694530701908,34.85,6.259939464983918,65.1,13.871212142988425,54.13637387387388,11.565955872489909,0.036429054054054055,0.015168352347168889,0.012775900900900902,0.007090688768831563,0.12014527027027026,0.018007258041037883,0.040837837837837836,0.009352946360820636,0.869364274190214,0.05393078304796536,25.81500000000001,4.656661894533474,154.55,56.81685720944001,0.4541666666666667,0.14254693831335044,0.2569049402569065,0.04072478432077237,0.4015798549126062,0.0016441613328229071,23.999719539503563,0.0002205311480407034,True,True,20
Tripathi'24 Whittle-Safe,8,441.19521621621624,79.51350678470796,24.947716216216214,4.976064150341994,21.657378378378375,3.8686877014725702,35.9,5.928521605008506,65.8,13.209247159710342,54.90858108108108,10.911032185706928,0.03847072072072072,0.014931464059507172,0.013195945945945947,0.00661258346214455,0.1250427927927928,0.01851832787347919,0.04037837837837838,0.009288808192298353,0.8641428382485413,0.05354631077661581,26.1,4.529435889123966,153.85,58.39635442839147,0.5237837837837838,0.13697819497751829,0.25645629406807,0.0409697908052199,0.4018369920265206,0.0015647953815772224,23.99978499319575,0.00018817239433319285,True,True,20
Wang'26 PORMAB-Safe,2,437.3620810810811,81.32742281687355,24.176256756756757,5.851059795347347,21.22837567567567,4.3160073562611405,35.3,5.894689849436748,65.8,15.401982100742067,54.21308558558559,12.133606981268162,0.03701013513513514,0.015255349152285172,0.013141891891891891,0.0072829651768142115,0.12533220720720722,0.020502687209679443,0.040121621621621625,0.009263557738791915,0.8415713961183269,0.05678893038642996,25.829999999999973,4.468497922592143,145.05,57.29836499917731,0.501072072072072,0.14475159728586315,0.25382810215567597,0.04216509700737238,0.4011266413539423,0.000970034123451942,23.99979113152648,0.0001487706058694458,True,True,20
Wang'26 PORMAB-Safe,4,439.40005405405407,82.0825693116593,24.177621621621622,5.794854586957284,21.29006959459459,4.370958932929277,35.7,6.096590936960719,66.2,15.456560521600357,54.76463963963964,12.361281129434728,0.037925675675675674,0.015551491973474323,0.013447072072072071,0.007729360821708919,0.1262421171171171,0.019998571967426958,0.04009459459459459,0.009488990684783531,0.8482447300860345,0.05517200437170517,25.779999999999973,4.490879646572565,145.0,58.5599108426126,0.5432522522522523,0.13832332029326808,0.2544247894640496,0.04219490781785673,0.4012656605153098,0.0012159669181616194,23.999807994213295,0.0001385741670577374,True,True,20
Wang'26 PORMAB-Safe,8,440.29617567567567,80.63294424269517,24.27968918918919,5.718037505503434,21.21394459459459,4.098314798660315,35.8,5.745478771676862,65.95,14.532993316479645,54.542792792792795,11.391496694004006,0.03784572072072072,0.01508959340987096,0.013243243243243243,0.0073125707256799805,0.12730180180180178,0.019268133335704055,0.04039189189189189,0.009446027854922781,0.8502895113415873,0.05660678511026006,26.089999999999964,4.518284490472241,147.25,53.426659026527595,0.6026576576576577,0.1269006514003127,0.2546819251504032,0.042241408919900164,0.4009759963860339,0.0012140150844039941,23.999837820198014,0.00014248211877912345,True,True,20
Zhao'25 MMSE-MW-Safe,2,438.47547297297297,78.4098844258717,23.82239189189189,5.8663840211663025,20.91370202702702,4.282315621505016,34.2,6.362720371532586,64.85,14.228492541376266,53.19234234234234,11.539726242902612,0.035459459459459455,0.014557497238425192,0.012726351351351351,0.007040067484935066,0.11654954954954955,0.0195277189742555,0.03964864864864865,0.009125416733295146,0.860792741761666,0.055457041511453656,24.979999999999972,4.755893850349259,144.3,54.22574645818504,0.46040990990990993,0.15939553029727255,0.25596866730845047,0.04103873618135298,0.4011738179365546,0.001467709012129153,23.999650143668823,0.00046378762129801944,True,True,20
Zhao'25 MMSE-MW-Safe,4,439.57370270270275,78.7561549110534,23.804094594594595,6.234473069634626,21.06130405405405,4.625287828163623,34.3,6.1396039645978195,65.7,15.390017270261506,53.56576576576576,12.161176179234985,0.03526013513513514,0.014327280938998651,0.01279054054054054,0.007234201831371512,0.12309234234234234,0.019115848193021024,0.040081081081081084,0.009417749947358443,0.8595927223240263,0.05686377548875335,24.765000000000008,4.440160618242261,146.5,58.51090766506253,0.4940810810810811,0.16259235414933917,0.25562453749876696,0.041073903819469286,0.4019546061203799,0.0017648529777878788,23.99962249162394,0.000508207439692998,True,True,20
Zhao'25 MMSE-MW-Safe,8,441.3169864864864,78.52977756809128,24.07606756756757,6.009579954384021,21.292577027027022,4.475198721580269,35.05,6.117059837261,66.1,14.775156958824322,54.17844594594594,11.631951823295662,0.03677027027027027,0.01418657242159656,0.01311036036036036,0.007152138552483805,0.1270630630630631,0.018611469754874092,0.040540540540540536,0.009218845959961232,0.8561804139253575,0.05612684312969522,24.75,4.5523273400016295,147.8,55.41479946729032,0.5810585585585586,0.15821314826410818,0.25498197208718804,0.04114593817780471,0.4026364536179326,0.002191989330126599,23.999839657355132,0.00013555541200554626,True,True,20
Zhu'26-style Aggregate-DPP,2,402.1846891891892,59.8912267576643,18.86575675675676,1.7761468358672445,17.78670135135135,1.5543593058665297,34.65,3.869924519867756,53.85,5.254321529640349,46.593513513513514,4.664609373683777,0.03189301801801802,0.010488269915246325,0.006153153153153153,0.0028851194501113273,0.11563738738738738,0.018849226299626765,0.0517972972972973,0.0057548998935334356,0.8634066865628304,0.03299221967309414,29.9875,4.872367710391239,102.4,16.743891266275057,0.0,0.0,0.2682769749165931,0.04478285898635672,0.5527569454379706,0.05409484895612137,617.6006956681001,208.48433511491461,False,False,20
Zhu'26-style Aggregate-DPP,4,411.56682432432433,64.2271461682977,19.33562162162162,2.0583464034447054,18.302639864864865,1.595737789805002,36.0,4.4248104330492,55.8,5.662433919679491,48.17551801801802,5.075108276684617,0.0361036036036036,0.012725799027836543,0.007318693693693694,0.0035067401596519023,0.12093243243243243,0.018738679468848895,0.05464864864864864,0.006537612643036699,0.8707088031314398,0.03177964668516412,29.95,5.052097011195086,102.9,11.589014762174337,0.0,0.0,0.2690080042814602,0.04510038582622094,0.5615161042048477,0.05695040510608784,652.2906481214031,219.9717889998872,False,False,20
Zhu'26-style Aggregate-DPP,8,422.9886486486486,69.56254657430331,20.073391891891895,2.1733482006111067,19.101816891891893,1.8824735776035517,37.65,4.85879560558397,58.9,6.6720153981899815,50.652094594594594,5.872400127822391,0.04192117117117117,0.01517942935223613,0.00946846846846847,0.004786080801955035,0.12367342342342343,0.019012281066210505,0.055337837837837835,0.006127372408303671,0.8721650622764286,0.03066645756251168,30.45,5.093597632529023,109.0,17.44766610843923,0.0,0.0,0.2694790646729206,0.045306094339615334,0.5701023286407988,0.05960023364338592,686.7908412601415,233.8017150707589,False,False,20
