policy,extra_delay,seed,wAoI,worst_user_mean_aoi,p95_user_mean_aoi,p95_slot_aoi,mean_service_rate,worst_service_rate,jain_service_fairness,starvation_p95,starvation_max,rejection_rate,rejected_candidates,proposed_candidates,mean_power,max_avg_power,max_queue,finite_window_bound,bound_ok,certificate_ok
Zhu'26-style Aggregate-DPP,4,2,349.37108108108106,17.553513513513515,17.24908108108108,33.0,0.13864864864864865,0.05675675675675676,0.8632770449616285,26.0,111.0,0.0,0,11100,0.23379149524470186,0.6059714085342554,846.3054091612336,0.4064864864864865,False,False
Zhu'26-style Aggregate-DPP,4,3,396.9997297297297,21.964054054054053,19.9897027027027,36.0,0.13414414414414416,0.04135135135135135,0.8464061008157049,27.0,111.0,0.0,0,11100,0.25347607855529286,0.6329485944785458,965.7530990397995,0.4064864864864865,False,False
Zhu'26-style Aggregate-DPP,4,4,345.9756756756757,18.05162162162162,17.56033783783784,32.0,0.13698198198198197,0.05810810810810811,0.9148550961204769,27.0,83.0,0.0,0,11100,0.21360009449319664,0.4793813746802327,320.11555189373513,0.4064864864864865,False,False
Known-Transition Safe,4,0,515.8613513513513,31.203783783783784,29.723837837837838,46.0,0.1313963963963964,0.027837837837837838,0.7175545012058343,29.0,186.0,0.11801801801801802,1310,11100,0.2602640923275932,0.3960197705475619,23.997220469611012,0.4064864864864865,True,True
Known-Transition Safe,4,1,494.90675675675675,27.66945945945946,27.041716216216216,47.0,0.13353603603603603,0.032972972972972976,0.739455456995266,29.0,141.0,0.10738738738738739,1192,11100,0.25606125971964827,0.3968003831087329,23.999296343741346,0.4064864864864865,True,True
Known-Transition Safe,4,2,370.6918918918919,23.982432432432432,20.5592027027027,34.0,0.14326576576576577,0.03783783783783784,0.832040947226954,26.0,112.0,0.027207207207207207,302,11100,0.2146862129711473,0.3879205347191764,23.997267035753424,0.4064864864864865,True,True
Known-Transition Safe,4,3,425.7548648648649,28.033243243243245,25.025635135135133,39.0,0.14389639639639637,0.031081081081081083,0.8097527312846604,25.0,127.0,0.06882882882882883,764,11100,0.22384753026255,0.3973892458917622,23.998656894089866,0.4064864864864865,True,True
Known-Transition Safe,4,4,347.7856756756757,19.68,19.000675675675673,32.0,0.13925675675675678,0.046486486486486484,0.8989289599137699,26.0,116.0,0.012792792792792792,142,11100,0.20377162654839995,0.373721806383368,23.996370870076753,0.4064864864864865,True,True
Conservative-AoI Safe,4,0,677.1218918918919,37.27513513513514,34.764608108108106,57.0,0.13916666666666666,0.024864864864864864,0.6554885726385972,36.0,338.0,0.023873873873873873,265,11100,0.2421421518410478,0.37511189446275267,23.99597878045288,0.4064864864864865,True,True
Conservative-AoI Safe,4,1,630.7743243243243,38.62162162162162,33.0956081081081,57.0,0.14103603603603607,0.026486486486486487,0.6985643004231793,34.0,164.0,0.032432432432432434,360,11100,0.23896375942789735,0.38083714930550794,23.984176103819845,0.4064864864864865,True,True
