seed,effect,metric,metric_label,unit,effect_value
8,Expected age,worst_user_mean_aoi,worst user,relative_pct,-27.98129928127836
8,Expected age,max_avg_power,max power,relative_pct,9.233132958379782
8,Expected age,rejection_rate,rejection,percentage_points,1.8130630630630626
8,Bayesian belief,wAoI,W-AoI,relative_pct,1.3333354805842894
8,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,12.522361359570661
8,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,4.896546911806826
8,Bayesian belief,max_avg_power,max power,relative_pct,6.847364721831981
8,Bayesian belief,rejection_rate,rejection,percentage_points,-0.18693693693693747
8,Safety shield,wAoI,W-AoI,relative_pct,2.2313695112910557
8,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,12.522361359570661
8,Safety shield,worst_user_mean_aoi,worst user,relative_pct,14.570776156824248
8,Safety shield,max_avg_power,max power,relative_pct,-1.5503941698167814
8,Safety shield,rejection_rate,rejection,percentage_points,4.466216216216212
8,Belief × age,wAoI,W-AoI,relative_pct,0.9582107387241083
8,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,2.5044722719141324
8,Belief × age,worst_user_mean_aoi,worst user,relative_pct,1.5693011773368029
8,Belief × age,max_avg_power,max power,relative_pct,-6.651574584316376
8,Belief × age,rejection_rate,rejection,percentage_points,0.25000000000000233
8,Belief × shield,wAoI,W-AoI,relative_pct,-0.06071352075613236
8,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-3.2200357781753133
8,Belief × shield,worst_user_mean_aoi,worst user,relative_pct,3.189613064516519
8,Belief × shield,max_avg_power,max power,relative_pct,0.9050045763009081
8,Belief × shield,rejection_rate,rejection,percentage_points,-0.18693693693693747
8,Age × shield,wAoI,W-AoI,relative_pct,0.1913200601015566
8,Age × shield,p99_slot_aoi,p99 AoI,relative_pct,-0.35778175313059035
8,Age × shield,worst_user_mean_aoi,worst user,relative_pct,-3.328208200693457
8,Age × shield,max_avg_power,max power,relative_pct,0.6534209587158232
8,Age × shield,rejection_rate,rejection,percentage_points,1.8130630630630626
8,Three-way,wAoI,W-AoI,relative_pct,1.6844110117470685
8,Three-way,p99_slot_aoi,p99 AoI,relative_pct,8.228980322003578
8,Three-way,worst_user_mean_aoi,worst user,relative_pct,4.026958678918862
8,Three-way,max_avg_power,max power,relative_pct,-0.6534209587158232
8,Three-way,rejection_rate,rejection,percentage_points,0.25000000000000233
9,Expected age,wAoI,W-AoI,relative_pct,-31.8683072157372
9,Expected age,p99_slot_aoi,p99 AoI,relative_pct,-18.351477449455675
9,Expected age,worst_user_mean_aoi,worst user,relative_pct,-19.430168975866472
9,Expected age,max_avg_power,max power,relative_pct,5.991134167831884
9,Expected age,rejection_rate,rejection,percentage_points,3.218468468468467
9,Bayesian belief,wAoI,W-AoI,relative_pct,0.28519884023403996
9,Bayesian belief,p99_slot_aoi,p99 AoI,relative_pct,3.421461897356143
9,Bayesian belief,worst_user_mean_aoi,worst user,relative_pct,-4.505590333602372
9,Bayesian belief,max_avg_power,max power,relative_pct,1.392566979095191
9,Bayesian belief,rejection_rate,rejection,percentage_points,-0.36711711711711753
9,Safety shield,wAoI,W-AoI,relative_pct,-0.6552714723761939
9,Safety shield,p99_slot_aoi,p99 AoI,relative_pct,6.531881804043546
9,Safety shield,worst_user_mean_aoi,worst user,relative_pct,-1.945310589716899
9,Safety shield,max_avg_power,max power,relative_pct,-4.507071102683308
9,Safety shield,rejection_rate,rejection,percentage_points,8.394144144144137
9,Belief × age,wAoI,W-AoI,relative_pct,0.7434342500043319
9,Belief × age,p99_slot_aoi,p99 AoI,relative_pct,0.3110419906687403
9,Belief × age,worst_user_mean_aoi,worst user,relative_pct,2.1859318773437346
9,Belief × age,max_avg_power,max power,relative_pct,-1.8013341344658365
9,Belief × age,rejection_rate,rejection,percentage_points,0.14189189189189236
9,Belief × shield,wAoI,W-AoI,relative_pct,-1.2969941196190569
9,Belief × shield,p99_slot_aoi,p99 AoI,relative_pct,-3.421461897356143
