policy,extra_delay,seed,uav,pi_los,pth,mean_aoi,avg_power,service_rate,max_queue
FreshSky-Safe,2,11,3,0.4312530983,1.088976442,11.47378378,0.3143315785,0.09621621622,19.46929327
FreshSky-Safe,2,11,4,0.6153269509,0.7590395275,8.971081081,0.1948885273,0.1302702703,7.25310677
FreshSky-Safe,2,11,5,0.4183303984,1.120756955,13.67216216,0.3104799671,0.08135135135,20.9849795
FreshSky-Safe,2,11,6,0.9434799305,0.3508668233,5.13,0.08648393051,0.1986486486,0.3508668233
FreshSky-Safe,2,11,7,0.4987828682,0.9460759936,11.79567568,0.2590202653,0.102972973,14.19797583
FreshSky-Safe,2,11,8,0.6260188518,0.7443154627,10.04621622,0.1790380437,0.1235135135,8.218094807
FreshSky-Safe,2,11,9,0.4351735249,1.079661914,12.02432432,0.3031807376,0.09837837838,21.34918126
FreshSky-Safe,2,11,10,0.2492611008,1.819920828,20.75648649,0.3934963951,0.04783783784,23.99524965
FreshSky-Safe,2,11,11,0.2092716103,2.159149808,27.44540541,0.3851456414,0.03351351351,23.98817925
FreshSky-Safe,2,12,0,0.2277146089,1.986329388,18.15459459,0.3892131909,0.04594594595,23.9934339
FreshSky-Safe,2,12,1,0.9318683167,0.369039043,4.953513514,0.08497872017,0.1981081081,0.369039043
FreshSky-Safe,2,12,2,0.4490225566,1.047885528,12.01945946,0.3137992339,0.1010810811,23.95484878
FreshSky-Safe,2,12,3,0.364868936,1.273544601,13.70513514,0.346266451,0.08351351351,20.80368546
FreshSky-Safe,2,12,4,0.3264467419,1.412123145,14.59459459,0.358373955,0.07162162162,23.89717654
FreshSky-Safe,2,12,5,0.2532754659,1.792296255,22.99054054,0.3855858969,0.04486486486,23.99140411
FreshSky-Safe,2,12,6,0.5108922966,0.9237509324,10.43945946,0.2514100511,0.1127027027,11.65503357
FreshSky-Safe,2,12,7,0.7249468559,0.6195927545,6.71,0.1525537836,0.1589189189,2.376334791
FreshSky-Safe,2,12,8,0.885090931,0.4325165816,5.85,0.1078953527,0.18,0.8552321429
FreshSky-Safe,2,12,9,0.3371942215,1.370290719,16.34432432,0.3473872146,0.06567567568,23.64715241
FreshSky-Safe,2,12,10,0.4510893652,1.043286736,11.82324324,0.26730698,0.09432432432,13.14188882
FreshSky-Safe,2,12,11,0.3770521179,1.235229773,12.7127027,0.3161520526,0.08459459459,22.55120386
FreshSky-Safe,2,13,0,0.931036637,0.3702883284,5.882432432,0.09207169248,0.1827027027,0.3702883284
FreshSky-Safe,2,13,1,0.7159624459,0.6302691506,7.719459459,0.1710243857,0.1545945946,3.163229808
FreshSky-Safe,2,13,2,0.6775674106,0.6771299559,8.35972973,0.1661713513,0.1394594595,4.156949338
FreshSky-Safe,2,13,3,0.3509019354,1.320546841,13.99972973,0.3372748013,0.07297297297,23.94515469
FreshSky-Safe,2,13,4,0.95,0.2764601871,5.227027027,0.06866673296,0.2021621622,0.2764601871
FreshSky-Safe,2,13,5,0.7562371291,0.5830294735,6.564594595,0.1504846344,0.1662162162,2.379383155
FreshSky-Safe,2,13,6,0.2357345475,1.920506701,22.37108108,0.384620396,0.04162162162,23.98384429
FreshSky-Safe,2,13,7,0.5713184825,0.8232731646,9.320810811,0.244979393,0.1302702703,12.69819494
FreshSky-Safe,2,13,8,0.95,0.2265612916,4.611891892,0.0566403229,0.2097297297,0.2265612916
